id,theta,E,ra,dec
70137858700,14.22,164.926,192.91,-21.15
142937927500,6.85,154.648,102.89,-37.83
182242127601,47.85,147.48,125.04,-0.61
82685012000,49.82,141.03,287.76,1.55
140650707000,58.47,132.283,340.57,11.97
173614955400,41.68,131.209,107.84,-44.74
51861479500,57.34,128.447,45.8,-1.66
152364323000,20.1,124.447,284.81,-48.02
80184305000,50.28,124.38,352.53,-20.75
160266496900,22.62,123.011,175.58,-37.65
160210414600,13.76,122.541,231.43,-34.03
110266561800,24.87,116.646,150.05,-10.39
160685790300,23.73,115.767,151.54,-12.6
162975276100,49.5,111.661,352.08,13.17
181745526400,42.68,110.66,300.02,-22.61
113614713800,47.36,108.531,344.14,-71.53
151433402300,39.19,108.025,83.14,-51.1
152688398700,77.2178,107.428,21.6835,-13.8088
143593462700,45.07,106.697,313.29,-4.46
153346831100,47.71,106.163,169.86,-59.82
150860522300,28.2,105.975,333.68,-11.02
141114964000,15.53,105.281,164.62,-20.12
120811958300,47.42,105.07,309.14,-66.75
162284959100,48,103.729,222.88,-34.1
102843634000,48.63,101.616,218.68,-70.79
182173920500,9.91,100.445,223.86,-26.3
170823652800,16.73,97.92,64.48,-39.88
61856616000,58.73,97.0764,349.88,9.25
171481171400,28.32,96.0257,79.5,-48.99
160783272600,16.89,95.8123,69.73,-19.13
82647336800,44.47,95.6662,116.09,-50.72
112030924100,29.54,93.9115,120.3,-56.13
73436404500,30.94,93.9096,81.5,-7.39
132478291200,54.67,93.3151,154.55,-46.86
143534401300,52.25,92.6333,324.77,-20.84
71937334700,17.53,92.1185,326.01,-33.44
173613697300,46.87,91.5019,306.83,-27.27
112211797700,3.53,91.3124,139.13,-36.45
43390608100,44.44,90.8248,268,-60.94
101212507200,43.54,90.6933,122.34,-70.77
181734718600,49.9,90.5905,274.45,-80.53
92940331600,45.39,89.9753,211.23,-36.11
131342460100,45.12,89.1938,123.51,-5.99
142641379200,36.54,88.5504,141.07,-68.41
121622030300,58.74,87.9979,26.46,-24.81
103207466400,5.01,87.8844,120.97,-30.61
112525083701,24.44,87.2803,283.64,-28.66
102383598700,12.39,86.9276,226.42,-25.66
180752606600,46.1,86.5145,335.36,-37.21
41423234800,59.21,86.1648,199.63,-34.84
91637640500,41.17,86.1186,23.17,-39.97
132970558500,39,85.3858,163.66,-74.09
92747991300,79.4366,85.2309,286.426,-64.9123
173582966500,29.41,84.9101,4.05,-34.9
61268623100,65.2103,84.5801,297.795,19.4476
131916667100,8.57,84.2325,308.35,-39.38
101480978600,52.17,83.799,89.18,-11.93
111061311000,78.2344,83.5913,307.565,16.2296
90517040100,6.84,83.5131,203.36,-32.93
170956426400,21.84,83.0438,187.68,-45.98
102266222400,53.79,83.043,324.51,17.82
181651219900,49.98,82.9698,355.46,-59.52
80102573300,77.1148,82.9143,269.795,18.9915
180073811000,37.96,82.6981,34.33,-0.59
53067337100,13.96,82.3057,114.7,-42.42
91725845600,10.02,81.9484,276.49,-33.43
172090621200,59.16,81.8611,156.13,-32.97
60053798500,30.91,81.7444,18.86,-4.66
112153572300,34.25,81.5365,245.23,-18.37
153034602000,51.8,81.1302,276.52,-35.71
170906034700,11.15,81.0613,204.11,-41.31
130272787100,47.64,80.6177,56.8,-67.78
151778072100,19.54,80.1408,25.8,-41.51
83294219100,47.73,79.9143,28.82,-2.8
160928482501,34.61,78.6737,273.38,-7.15
103648222300,22.15,78.5655,167,-31.39
73451288300,51.59,78.4482,315.19,-53.56
112946143700,31.91,78.4398,77.34,-41.15
102775011900,31.02,78.3427,12.18,-40.61
60354407800,30.79,78.2745,53.59,-7.82
53474716100,65.5822,78.0893,17.1381,29.1908
160286539900,45.15,78.0214,189.67,-7.25
160797459200,56.79,77.6158,327.77,-69.34
90321400800,56.16,77.5056,359.95,-15.35
140305579500,60.7498,77.1717,188.61,-32.7248
162527522300,71.7441,77.0532,221.067,-72.6886
181638381500,17.14,76.6126,11.31,-20.07
60815505400,34,76.4152,201.15,-55.26
83371620600,30.81,76.3832,275.22,-14.37
50630302000,54.5,76.3556,331.3,-1.22
180204495000,13.05,75.9956,59.53,-48.1
90784010600,27.31,75.9609,122.57,-54.95
102562593100,73.6922,75.9014,130.699,-15.5211
80878008000,38.79,75.7338,220.76,-42.7
120523049000,23.37,75.7104,34.76,-58.41
151106188000,16.73,75.6137,197.05,-37.82
173102440800,43.66,75.4037,202.09,-61.65
92814497200,75.4539,75.3167,255.41,13.9663
130364162700,74.7113,75.2892,266.158,-68.2701
160152761800,76.0003,75.1998,69.613,-23.4937
71451505500,23.97,75.1693,47.43,-12.77
121890525800,31.23,75.1037,18.98,-42.51
130522445700,60.7701,75.0071,72.5158,-20.4842
121032569700,67.4534,74.9095,152.648,-46.3156
161988433700,42.91,74.8314,94.05,-52.95
